,year,headline
1681514,2007.0,Sniffles That Precede a Recession
1689993,2007.0,Recession? What Recession?
1697344,2007.0,Are We In A Recession Yet?–At Least Some of Us May Be
1694783,2007.0,The Early Word: A Recession Could Shift ’08 Priorities
1693848,2007.0,Housing History Sends Recession Warning
1618705,2007.0,A Recession That Arrived on Cats’ Paws
1670166,2007.0,Recession Fear  Heightened as 4-Year Growth in Jobs Ends
1671169,2007.0,Recession: The Dirty Word on Wall Street’s Lips
1615874,2007.0,Housing and Recessions
1679251,2007.0,"Job Growth Looks Rosier, Easing Recession Fears"
1696835,2007.0,"Forecasters Say Madison Avenue Will Escape a Recession, Just Barely"
1704169,2007.0,Why we haven’t had a recession (so far)
1672458,2007.0,Double Warning That a Recession May Be on the Way
1678929,2007.0,Jobs Report Eases Recession Fears 
1702850,2007.0,How to Avoid Recession? Let the Fed Work
1700692,2007.0,Are We in a Recession?
1670509,2007.0,Unexpected Loss of Jobs Raises Risk of Recession
1630500,2007.0,Recession Pessimism
1618708,2007.0,"For Manufacturing, a Recession Has Arrived"
1780652,2008.0,"Shallow Recessions, Shallow Recoveries"
1804466,2008.0,Should Rich States Get Federal Aid During a Recession?
1811054,2008.0,Why Should Recession Stop the Recruiters?
1773498,2008.0,A Threat of Recession for Economies of Europe
1822302,2008.0,"In Season of Recession, New Ways to Celebrate"
1738636,2008.0,Google: No Recessionary Problems Here
1815215,2008.0,Trump Sees Act of God in Recession
1809882,2008.0,Which Part of the Economy Will Carry Us Through This Recession?
1759989,2008.0,War? Recession?  Not Here
1732025,2008.0,No Recession at Red Hat
1818837,2008.0,Recession Reflections
1813734,2008.0,It’s a Recession
1709103,2008.0,"As Talk of Recession Grows, Republicans and Democrats Differ on Response"
1805116,2008.0,Recession as a Marketing Strategy
1717948,2008.0,Postmodern recessions
1806329,2008.0,Lame Ducks and Recession Politics
1822693,2008.0,Small Business Weathers the Recession
1732626,2008.0,Does Recession Mean Doom for Restaurants?
1782758,2008.0,The un-recession
1725591,2008.0,Stocks Slide on Renewed Fears of Recession
1822342,2008.0,Japan Recession Fears Reinforced by New Data
1812107,2008.0,Recession Is the Mother of Invention
1736100,2008.0,Summers: Recession Is On
1814682,2008.0,Recession Trickles to India
1817458,2008.0,The Creativity of Recessions
1714148,2008.0,Casualties of the (Possibly) Upcoming Recession
1763698,2008.0,McCain: ‘I Would Imagine We Are’ in a Recession
1711089,2008.0,Stocks Plunge  Worldwide on Fears of a U.S. Recession 
1798788,2008.0,The Art of Recession
1718343,2008.0,White House Does Not See a Recession
1799913,2008.0,The Recession Bites
1812759,2008.0,A Prairie Home Recession
1718464,2008.0,Economists’ Tea Leaves Point to Recession
1761975,2008.0,Denmark: Economy Enters Recession
1796876,2008.0,Bleak Numbers Stoke Fears of Recession in Europe
1730694,2008.0,"You Say Recession, I Say ‘Reservations!’"
1709975,2008.0,World Recession?
1710794,2008.0,A Recession’s Impact Is All in the Timing
1816344,2008.0,America’s Team Is Falling Into Recession
