ndc,year,headline_count,avg_headline_len
BUSINESS/ECONOMY/FINANCIAL,1991,19322,39.40544457095539
BUSINESS/ECONOMY/FINANCIAL,1992,22501,44.27012132794098
BUSINESS/ECONOMY/FINANCIAL,1993,19792,45.50136418755053
BUSINESS/ECONOMY/FINANCIAL,1994,18755,45.54924020261264
BUSINESS/ECONOMY/FINANCIAL,1995,19479,49.16350942040146
BUSINESS/ECONOMY/FINANCIAL,1996,13749,46.876572841661215
BUSINESS/ECONOMY/FINANCIAL,1997,12240,41.40367647058824
BUSINESS/ECONOMY/FINANCIAL,1998,12931,43.11654164411105
BUSINESS/ECONOMY/FINANCIAL,1999,13933,41.712624703940286
BUSINESS/ECONOMY/FINANCIAL,2000,14436,40.95691327237462
BUSINESS/ECONOMY/FINANCIAL,2001,14911,45.53638253638254
BUSINESS/ECONOMY/FINANCIAL,2002,15608,47.42760123013839
BUSINESS/ECONOMY/FINANCIAL,2003,14733,47.57075951944614
BUSINESS/ECONOMY/FINANCIAL,2004,13211,46.82037695859511
BUSINESS/ECONOMY/FINANCIAL,2005,11523,43.50785385750239
BUSINESS/ECONOMY/FINANCIAL,2006,25670,42.9536813400857
BUSINESS/ECONOMY/FINANCIAL,2007,18988,42.19496524120497
BUSINESS/ECONOMY/FINANCIAL,2008,20196,41.82090512972866
BUSINESS/ECONOMY/FINANCIAL,2009,21836,41.498076570800514
BUSINESS/ECONOMY/FINANCIAL,2010,18932,41.69506655398268
BUSINESS/ECONOMY/FINANCIAL,2011,7521,42.21513096662678
BUSINESS/ECONOMY/FINANCIAL,2012,6813,43.04814325554088
BUSINESS/ECONOMY/FINANCIAL,2013,7346,44.795262728015246
BUSINESS/ECONOMY/FINANCIAL,2014,13368,49.681702573309394
BUSINESS/ECONOMY/FINANCIAL,2015,10630,51.29727187206021
BUSINESS/ECONOMY/FINANCIAL,2016,8865,53.01049069373943
BUSINESS/ECONOMY/FINANCIAL,2017,7079,55.71987568865659
BUSINESS/ECONOMY/FINANCIAL,2018,5341,58.18348623853211
BUSINESS/ECONOMY/FINANCIAL,2019,4325,59.55537572254335
BUSINESS/ECONOMY/FINANCIAL,2020,6159,55.65432700113655
WORLD/INTERNATIONAL/FOREIGN,1991,12696,48.36672967863894
WORLD/INTERNATIONAL/FOREIGN,1992,10977,52.89049831465792
WORLD/INTERNATIONAL/FOREIGN,1993,9763,49.31086756120045
WORLD/INTERNATIONAL/FOREIGN,1994,9589,48.87652518510794
WORLD/INTERNATIONAL/FOREIGN,1995,10473,50.17101117158408
WORLD/INTERNATIONAL/FOREIGN,1996,12164,50.42518908253864
WORLD/INTERNATIONAL/FOREIGN,1997,9411,49.734565933482095
WORLD/INTERNATIONAL/FOREIGN,1998,10222,50.58784973586382
WORLD/INTERNATIONAL/FOREIGN,1999,10531,50.06058304054696
WORLD/INTERNATIONAL/FOREIGN,2000,11725,48.81330490405117
WORLD/INTERNATIONAL/FOREIGN,2001,14578,52.15317601865825
WORLD/INTERNATIONAL/FOREIGN,2002,16163,51.9715399368929
WORLD/INTERNATIONAL/FOREIGN,2003,16113,51.40495252280767
WORLD/INTERNATIONAL/FOREIGN,2004,14706,51.46124031007752
WORLD/INTERNATIONAL/FOREIGN,2005,13130,52.72406702208682
WORLD/INTERNATIONAL/FOREIGN,2006,21375,49.15391812865497
WORLD/INTERNATIONAL/FOREIGN,2007,16789,43.51903031746977
WORLD/INTERNATIONAL/FOREIGN,2008,18165,42.54830718414534
WORLD/INTERNATIONAL/FOREIGN,2009,15598,43.3840235927683
WORLD/INTERNATIONAL/FOREIGN,2010,14727,44.13655191145515
WORLD/INTERNATIONAL/FOREIGN,2011,14048,48.157887243735765
WORLD/INTERNATIONAL/FOREIGN,2012,12053,50.89131336596698
WORLD/INTERNATIONAL/FOREIGN,2013,12520,51.44249201277955
WORLD/INTERNATIONAL/FOREIGN,2014,15697,51.74714913677773
WORLD/INTERNATIONAL/FOREIGN,2015,15106,55.73255660002648
WORLD/INTERNATIONAL/FOREIGN,2016,14203,59.23713300007041
WORLD/INTERNATIONAL/FOREIGN,2017,11720,60.45921501706485
WORLD/INTERNATIONAL/FOREIGN,2018,8154,62.15084621044886
WORLD/INTERNATIONAL/FOREIGN,2019,7868,62.27135231316726
WORLD/INTERNATIONAL/FOREIGN,2020,8442,60.011727078891255
SPORTS,1991,10792,36.62166419570052
SPORTS,1992,10820,37.53539741219963
SPORTS,1993,10351,37.41706115351174
SPORTS,1994,10345,38.48612856452392
SPORTS,1995,10228,40.62602659366445
SPORTS,1996,10728,43.45115585384042
SPORTS,1997,9353,38.815567197690584
SPORTS,1998,9736,40.03635990139688
SPORTS,1999,9597,39.7632593518808
SPORTS,2000,10029,39.26044471034001
SPORTS,2001,10283,39.38490712826996
SPORTS,2002,11049,39.40953932482578
SPORTS,2003,10849,39.25477002488709
SPORTS,2004,9735,38.97657935285054
SPORTS,2005,9078,39.210178453403834
SPORTS,2006,13677,41.11522994808803
SPORTS,2007,6655,43.390533433508644
SPORTS,2008,7526,41.606032420940736
SPORTS,2009,6777,43.94422310756972
SPORTS,2010,6723,42.996281421984236
SPORTS,2011,6067,43.179990110433494
SPORTS,2012,6305,44.105630452022204
SPORTS,2013,6251,46.067189249720045
SPORTS,2014,6515,49.42808902532617
SPORTS,2015,5973,54.16758747697974
SPORTS,2016,5138,56.82892175943947
SPORTS,2017,3990,58.92205513784461
SPORTS,2018,3766,58.14073287307488
SPORTS,2019,3286,56.206634205721244
SPORTS,2020,2899,55.07312866505691
HOME,1991,10227,35.56409504253447
HOME,1992,11056,36.31259044862518
HOME,1993,10451,36.200650655439674
HOME,1994,10035,35.8667663178874
HOME,1995,12584,35.82072472981564
HOME,1996,12478,38.50520916813592
HOME,1997,13557,36.07036955078557
HOME,1998,12620,39.70847860538827
HOME,1999,12137,39.63236384609047
HOME,2000,12625,38.51493069306931
HOME,2001,14207,40.303160413880484
HOME,2002,14045,41.57030971876112
HOME,2003,13807,40.76381545592815
HOME,2004,13243,39.6105867250623
HOME,2005,13573,38.94253296986665
HOME,2006,13190,36.997119029567855
HOME,2007,607,24.079077429983524
HOME,2008,822,30.66301703163017
HOME,2009,905,28.302762430939225
HOME,2010,909,33.232123212321234
HOME,2011,922,34.20824295010846
HOME,2012,923,29.93607800650054
HOME,2013,902,29.52882483370288
HOME,2014,1534,43.65384615384615
HOME,2015,706,47.8356940509915
HOME,2016,308,55.83766233766234
