,year,headline
16034,1991.0,"For New Soviet Immigrants in Israel, Hard Times"
47068,1991.0,U.S. GIVES SOVIETS A NEW PROPOSAL FOR NUCLEAR PACT
58528,1991.0,Soviet Upheaval Adds Urgency to the Debate Over U.S. Intelligence
42793,1991.0,Soviet Union Protests Boycott of Film Festival
12664,1991.0,Treaty Dispute With Soviets Causes Delay in Troop Talks
9692,1991.0,Rodale's Soviet Venture: Sausages and a Magazine
3787,1991.0,SOVIET CRACKDOWN: Lithuania; Soviets Insist They Won't Use Force to Unseat Lithuanians
45650,1991.0,"IN NOTE TO SOVIETS, BUSH URGES ACCORD ON STRATEGIC ARMS"
58649,1991.0,"SOVIET TURMOIL"
55752,1991.0,Soviets Expected To Appear In Tokyo
4617,1991.0,159 Freed From Soviet Plane As Bulgarians Seize Hijacker
58000,1991.0,Soviets Estimate Oil Production Will Drop in '91
75866,1991.0,U.S. Envoy Urges Debt Relief for Soviets
64321,1991.0,"In Soviet Georgia, the Rumors and the Threats Fly"
63978,1991.0,U.S. Firm on Soviet Bar
77733,1991.0,Soviet Pact: U.S. Banks Little Affected
84065,1991.0,Seeking to Give a New Life To a Dying Soviet Industry
21907,1991.0,SOVIET PRICE RISE IGNITES DISILLUSION
81326,1991.0,De Klerk Cancels Soviet Trip
33858,1991.0,Soviet Pilot Insists Downed Korean Jet Was Spy Plane
83113,1991.0,"SOVIET DISARRAY"
44766,1991.0,"Kalinin and Sverdlov, Two Soviet Presidents"
25441,1991.0,GORBACHEV PLEADS FOR JAPANESE AID TO SOVIET ECONOMY
64469,1991.0,Soviets Voice Doubt Mideast Talks Will Get Under Way on Schedule
23576,1991.0,SECESSION DECREED BY SOVIET GEORGIA
69869,1991.0,Keeping a Soviet Enterprise Afloat
82282,1991.0,This Way Out; Yeltsin Leads A Bold Move To Replace The Soviet Union
45928,1991.0,Soviet Republics Are Coming Into Their Own
23397,1991.0,"IN SOVIET GEORGIA, THREAT OF STRIKE"
62442,1991.0,Soviet Barter: The Haves and Have-Nots
85047,1991.0,Scant Unity for Old Soviet Republics
50903,1991.0,Soviet Economy Defies Improvement
